Model,RMSE,MAE,Precision@10,Recall@10,Coverage
Collaborative,0.8671218020938558,0.6719414745247575,0.079,0.03730685887364962,0.02091199535288992
Content-Based,,,0.002,0.00018799646954986758,0.05247361796882564
Hybrid,,,0.09700000000000002,0.036660598339359717,0.025268661051408656
